id,task_description,vulnerable_sql,expected_vuln_class,risk_score
24,"Задача 24 (Privilege Escalation)","SELECT impersonate_user('root');","PRIV_ESCALATION",8
25,"Задача 25 (Select Star)","SELECT * FROM customer;","SELECT_STAR",5
26,"Задача 26 (Select Star)","SELECT * FROM orders JOIN customer ON orders.cid = customer.id;","SELECT_STAR",5
27,"Задача 27 (Select Star)","SELECT * FROM products WHERE price > 100;","SELECT_STAR",5
28,"Задача 28 (Select Star)","SELECT * FROM logs;","SELECT_STAR",5
29,"Задача 29 (Select Star)","SELECT * FROM config;","SELECT_STAR",5
30,"Задача 30 (Select Star)","SELECT * FROM users;","SELECT_STAR",5
31,"Задача 31 (Update/Delete No Where)","DELETE FROM orders;","DML_NO_WHERE",9
32,"Задача 32 (Update/Delete No Where)","UPDATE products SET price = 0;","DML_NO_WHERE",9
33,"Задача 33 (Update/Delete No Where)","DELETE FROM users;","DML_NO_WHERE",9
34,"Задача 34 (Update/Delete No Where)","UPDATE config SET value = 'hacked';","DML_NO_WHERE",9
35,"Задача 35 (Update/Delete No Where)","DELETE FROM logs;","DML_NO_WHERE",9
36,"Задача 36 (Update/Delete No Where)","UPDATE accounts SET balance = 1000000;","DML_NO_WHERE",9
37,"Задача 37 (Sensitive Data)","SELECT password_hash FROM users;","DIRECT_SENSITIVE",6
38,"Задача 38 (Sensitive Data)","SELECT card_number, cvv FROM payments;","DIRECT_SENSITIVE",6
39,"Задача 39 (Sensitive Data)","SELECT ssn, dob FROM customers;","DIRECT_SENSITIVE",6
40,"Задача 40 (Sensitive Data)","SELECT api_token FROM integrations;","DIRECT_SENSITIVE",6
41,"Задача 41 (Sensitive Data)","SELECT private_key FROM certs;","DIRECT_SENSITIVE",6
42,"Задача 42 (Sensitive Data)","SELECT credit_score FROM financial_data;","DIRECT_SENSITIVE",6
43,"Задача 43 (No Limit/Pagination)","SELECT * FROM large_table;","NO_PAGINATION",4
44,"Задача 44 (No Limit/Pagination)","SELECT id, name FROM users ORDER BY created_at;","NO_PAGINATION",4
45,"Задача 45 (No Limit/Pagination)","SELECT data FROM logs WHERE level = 'ERROR';","NO_PAGINATION",4
46,"Задача 46 (No Limit/Pagination)","SELECT * FROM transactions;","NO_PAGINATION",4
47,"Задача 47 (No Limit/Pagination)","SELECT msg FROM chat_history;","NO_PAGINATION",4
48,"Задача 48 (No Limit/Pagination)","SELECT * FROM audit_trail;","NO_PAGINATION",4
49,"Задача 49 (Unsafe PL/pgSQL)","CREATE FUNCTION exec_dyn(sql text) RETURNS void AS $$ BEGIN EXECUTE sql; END; $$ LANGUAGE plpgsql;","PLPGSQL_UNSAFE",9
50,"Задача 50 (Unsafe PL/pgSQL)","EXECUTE format('INSERT INTO %I VALUES (%L)', table_name, value);","PLPGSQL_UNSAFE",9
51,"Задача 51 (Unsafe PL/pgSQL)","EXECUTE 'SELECT * FROM ' || table_name;","PLPGSQL_UNSAFE",9
52,"Задача 52 (Unsafe PL/pgSQL)","EXECUTE format('DELETE FROM %I', target_table);","PLPGSQL_UNSAFE",9
53,"Задача 53 (Unsafe PL/pgSQL)","EXECUTE query_string; -- без USING","PLPGSQL_UNSAFE",9
54,"Задача 54 (Unsafe PL/pgSQL)","EXECUTE 'UPDATE ' || tbl || ' SET val = 1';","PLPGSQL_UNSAFE",9
